CountryName,CapitalName,ContinentName
Somaliland,Hargeisa,Africa
South Georgia and South Sandwich Islands,King Edward Point,Antarctica
French Southern and Antarctic Lands,Port-aux-Francais,Antarctica
Aland Islands,Mariehamn,Europe
Nauru,Yaren,Oceania
Saint Martin,Marigot,North America
Tokelau,Atafu,Oceania
Western Sahara,El Aaiun,Africa
Afghanistan,Kabul,Asia
Albania,Tirana,Europe
Algeria,Algiers,Africa
American Samoa,Pago Pago,Oceania
Andorra,Andorra la Vella,Europe
Angola,Luanda,Africa
Anguilla,The Valley,North America
Antigua and Barbuda,Saint John's,North America
Argentina,Buenos Aires,South America
Armenia,Yerevan,Europe
Aruba,Oranjestad,North America
Australia ,Canberra,Oceania
Austria,Vienna,Europe
Azerbaijan,Baku,Europe
Bahamas,Nassau,North America
Bahrain,Manama,Asia
Bangladesh,Dhaka,Asia
Barbados,Bridgetown,North America
Belarus,Minsk,Europe
Belgium,Brussels,Europe
Belize,Belmopan,Central America
Benin,Porto-Novo,Africa
Bermuda,Hamilton,North America
Bhutan,Thimphu,Asia
Bolivia,La Paz,South America
Bosnia and Herzegovina,Sarajevo,Europe
Botswana,Gaborone,Africa
Brazil,Brasilia,South America
British Virgin Islands,Road Town,North America
Brunei Darussalam,Bandar Seri Begawan,Asia
Bulgaria,Sofia,Europe
Burkina Faso,Ouagadougou,Africa
Myanmar,Rangoon,Asia
Burundi,Bujumbura,Africa
Cambodia,Phnom Penh,Asia
Cameroon,Yaounde,Africa
Canada,Ottawa,Central America
Cape Verde,Praia,Africa
Cayman Islands,George Town,North America
Central African Republic,Bangui,Africa
Chad,N'Djamena,Africa
Chile,Santiago,South America
China,Beijing,Asia
Christmas Island,The Settlement,Oceania
Cocos Islands,West Island,Oceania
Colombia,Bogota,South America
Comoros,Moroni,Africa
Democratic Republic of the Congo,Kinshasa,Africa
Republic of Congo,Brazzaville,Africa
Cook Islands,Avarua,Oceania
Costa Rica,San Jose,Central America
Ivory coast,Yamoussoukro,Africa
Croatia,Zagreb,Europe
Cuba,Havana,North America
Curacao,Willemstad,North America
Cyprus,Nicosia,Europe
Czech Republic,Prague,Europe
Denmark,Copenhagen,Europe
Djibouti,Djibouti,Africa
